"Sex";"MaritalStatus";"Age";"Education";"Occupation";"YearsInSf";"DualIncome";"HouseholdMembers";"Under18";"HouseholdStatus";"TypeOfHome";"EthnicClass";"Language";"AnualIncome"
"1";"2";"1";5;"4";"5";"5";3;"3";0;"Own";"1";"7";"?";76004
"2";"Male";"1";5;"5";"5";"5";3;"5";2;"Own";"1";"7";"1";76004
"3";"2";"1";3;"5";"1";"5";2;"3";1;"Rent";"3";"7";"1";34000
"4";"2";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"5";"2";"5";1;"2";"6";"3";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"6";"Male";"1";6;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"7";"Male";"5";2;"3";"9";"4";1;"3";1;"Rent";"3";"7";"1";9136
"8";"Male";"3";3;"4";"3";"5";1;"1";0;"Rent";"3";"7";"1";32171
"9";"Male";"1";6;"3";"8";"5";3;"3";0;"Rent";"3";"7";"1";11703
"10";"Male";"1";7;"4";"8";"4";3;"2";0;"Rent";"3";"7";"1";21672
"11";"Male";"5";2;"4";"9";"5";1;"1";0;"Rent";"3";"7";"1";9136
"12";"2";"2";2;"3";"2";"5";1;"2";0;"Own";"1";"5";"1";21672
"13";"2";"1";3;"6";"6";"2";2;"4";2;"Own";"1";"7";"1";66994
"14";"2";"1";5;"3";"5";"5";3;"4";0;"Rent";"1";"7";"1";46894
"15";"Male";"4";6;"3";"?";"5";1;"1";0;"Own";"1";"7";"?";21672
"16";"2";"1";5;"4";"1";"5";2;"2";2;"Own";"1";"7";"1";46894
"17";"2";"3";3;"3";"2";"2";1;"2";1;"Rent";"3";"7";"1";9136
"18";"2";"1";5;"5";"1";"5";2;"2";0;"Own";"1";"7";"?";76004
"19";"2";"1";5;"3";"5";"1";3;"2";0;"Rent";"3";"7";"1";66994
"20";"Male";"5";1;"2";"9";"?";1;"4";2;"Live with Parents/Family";"1";"7";"1";7600000000000000004
"21";"Male";"3";4;"2";"3";"4";1;"2";0;"Rent";"3";"7";"1";11703
"22";"2";"1";4;"4";"2";"5";3;"";3;"Own";"1";"5";"2";76004
"23";"Male";"1";4;"4";"1";"5";3;"5";3;"Own";"1";"7";"1";66994
"24";"2";"3";5;"4";"2";"3";1;"3";0;"Rent";"5";"7";"1";21672
"25";"2";"5";1;"2";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"26";"Male";"1";3;"5";"1";"5";2;"3";1;"Rent";"3";"7";"1";76004
"27";"Male";"1";4;"4";"1";"5";2;"3";0;"Own";"1";"7";"1";46894
"28";"Male";"1";4;"";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"29";"Male";"1";4;"6";"1";"?";2;"3";1;"Own";"1";"7";"1";32171
"30";"2";"3";7;"3";"8";"5";1;"1";0;"Own";"5";"7";"1";21672
"31";"2";"3";4;"5";"1";"4";1;"5";3;"Own";"1";"7";"1";32171
"32";"2";"1";4;"4";"1";"4";2;"4";2;"Rent";"1";"7";"1";66994
"33";"2";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"34";"2";"5";1;"2";"6";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";9136
"35";"Male";"5";1;"2";"6";"5";1;"6";4;"Live with Parents/Family";"1";"7";"1";9136
"36";"2";"1";4;"4";"5";"?";3;"6";4;"Own";"1";"7";"1";66994
"37";"2";"1";7;"3";"5";"5";3;"2";0;"Own";"1";"7";"1";11703
"38";"2";"1";4;"3";"5";"1";3;"3";1;"Own";"1";"7";"1";66994
"39";"Male";"1";5;"6";"1";"5";2;"4";0;"Own";"1";"7";"1";76004
"40";"2";"3";4;"5";"1";"3";1;"2";1;"Rent";"3";"2";"3";27591
"41";"2";"4";6;"6";"1";"1";1;"1";0;"Rent";"3";"7";"1";11703
"42";"Male";"5";1;"2";"6";"5";1;"5";2;"Live with Parents/Family";"1";"7";"1";9136
"43";"2";"1";4;"4";"1";"5";2;"5";3;"Own";"1";"7";"1";66994
"44";"2";"1";5;"4";"5";"5";3;"3";0;"Own";"1";"7";"1";66994
"45";"2";"5";2;"2";"6";"2";1;"3";0;"Live with Parents/Family";"1";"3";"1";11703
"46";"2";"1";6;"4";"2";"5";2;"4";2;"Rent";"1";"7";"1";32171
"47";"2";"1";5;"4";"5";"5";3;"3";0;"Own";"1";"7";"1";66994
"48";"2";"1";6;"3";"5";"?";3;"2";0;"Own";"1";"7";"1";32171
"49";"2";"1";4;"3";"5";"3";3;"6";4;"Own";"1";"7";"?";66994
"50";"2";"1";3;"3";"5";"5";3;"5";3;"Own";"1";"5";"1";32171
"51";"2";"5";1;"2";"2";"5";1;"3";1;"Live with Parents/Family";"2";"7";"1";21672
"52";"Male";"3";5;"4";"1";"5";1;"1";0;"Rent";"2";"7";"1";46894
"53";"Male";"5";1;"2";"6";"?";1;"5";3;"Live with Parents/Family";"1";"7";"1";9136
"54";"2";"1";5;"6";"5";"5";3;"2";0;"Own";"1";"7";"?";76004
"55";"Male";"1";1;"5";"8";"5";2;"3";0;"Rent";"1";"3";"2";19997
"56";"Male";"5";1;"1";"3";"5";1;"?";0;"Live with Parents/Family";"1";"7";"1";9136
"57";"Male";"5";1;"1";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"58";"2";"1";4;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"59";"2";"1";6;"6";"5";"5";3;"2";0;"Own";"1";"7";"1";66994
"60";"2";"3";5;"4";"1";"2";1;"1";0;"Own";"1";"7";"1";9136
"61";"Male";"1";3;"4";"3";"5";2;"3";1;"Own";"1";"7";"1";66994
"62";"Male";"3";4;"3";"";"5";1;"1";0;"Own";"1";"8";"1";21672
"63";"2";"1";3;"5";"1";"4";2;"3";1;"Own";"2";"7";"1";66994
"64";"Male";"1";7;"4";"8";"5";2;"4";2;"Own";"1";"7";"1";46894
"65";"2";"1";5;"4";"5";"?";1;"4";1;"Rent";"3";"2";"?";19997
"66";"Male";"5";1;"2";"6";"5";1;"5";3;"Live with Parents/Family";"1";"5";"1";9136
"67";"Male";"5";1;"2";"6";"5";1;"5";3;"";"1";"7";"1";9136
"68";"2";"1";4;"4";"5";"4";3;"4";2;"Own";"1";"2";"3";46894
"69";"Male";"5";1;"1";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"70";"2";"1";6;"5";"1";"?";2;"2";0;"Own";"1";"7";"1";76004
"71";"2";"3";4;"2";"1";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";19997
"72";"2";"1";4;"4";"5";"5";3;"4";2;"Own";"1";"7";"1";76004
"73";"2";"1";3;"4";"5";"2";3;"4";2;"Own";"2";"7";"1";66994
"74";"Male";"5";1;"2";"4";"5";1;"5";3;"Live with Parents/Family";"1";"7";"1";253600
"75";"2";"1";5;"3";"5";"?";3;"3";1;"Own";"1";"7";"1";32171
"76";"2";"1";6;"3";"8";"?";3;"?";0;"Rent";"3";"7";"3";11703
"77";"2";"5";3;"5";"1";"5";1;"4";0;"Rent";"1";"3";"3";21672
"78";"2";"1";7;"3";"5";"?";3;"2";2;"Own";"1";"7";"1";19997
"79";"2";"2";2;"5";"1";"4";1;"2";0;"Rent";"3";"7";"1";66994
"80";"Male";"1";3;"5";"6";"2";3;"3";0;"Rent";"1";"7";"1";27591
"81";"2";"?";4;"5";"5";"?";3;"5";3;"Own";"1";"7";"1";32171
"82";"Male";"1";6;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"83";"2";"1";2;"2";"5";"3";3;"4";2;"Rent";"3";"7";"1";11703
"84";"2";"2";4;"4";"3";"?";1;"2";0;"Rent";"1";"7";"1";11703
"85";"2";"1";4;"6";"5";"2";3;"4";1;"Own";"1";"7";"1";76004
"86";"Male";"1";3;"4";"1";"3";2;"2";0;"Rent";"3";"2";"1";21672
"87";"Male";"5";2;"4";"6";"4";1;"2";0;"Rent";"3";"7";"1";19997
"88";"2";"1";2;"4";"2";"5";2;"2";0;"Rent";"3";"7";"1";27591
"89";"Male";"3";6;"3";"8";"?";1;"1";0;"Own";"2";"7";"1";27591
"90";"2";"5";2;"4";"6";"3";1;"4";0;"Live with Parents/Family";"1";"7";"1";76004
"91";"2";"1";6;"4";"4";"5";2;"2";0;"Own";"1";"7";"1";66994
"92";"Male";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";76004
"93";"Male";"5";2;"4";"6";"5";1;"4";0;"";"1";"5";"1";76004
"94";"2";"1";6;"4";"5";"2";1;"2";0;"Own";"5";"7";"3";46894
"95";"2";"1";6;"3";"2";"5";2;"2";0;"Own";"1";"7";"1";66994
"96";"Male";"1";7;"3";"8";"5";3;"2";0;"Own";"4";"7";"1";19997
"97";"2";"1";6;"4";"8";"5";3;"2";0;"Own";"2";"7";"1";46894
"98";"2";"1";7;"4";"8";"?";3;"2";0;"Own";"1";"7";"1";27591
"99";"2";"3";7;"3";"8";"5";1;"2";0;"Own";"1";"7";"1";9136
"100";"2";"1";5;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";76004
"101";"2";"?";4;"4";"1";"5";1;"?";0;"Rent";"?";"7";"?";21672
"102";"2";"1";5;"6";"1";"2";2;"3";0;"Own";"1";"4";"3";66994
"103";"2";"1";4;"3";"5";"5";3;"2";0;"Own";"1";"8";"2";46894
"104";"2";"5";1;"3";"9";"4";1;"3";1;"Live with Parents/Family";"1";"7";"1";27591
"105";"Male";"5";2;"3";"6";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";32171
"106";"Male";"5";1;"2";"2";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";66994
"107";"Male";"5";1;"2";"6";"5";1;"5";3;"Live with Parents/Family";"1";"7";"1";9136
"108";"2";"5";1;"1";"";"2";1;"7";5;"Rent";"2";"8";"?";46894
"109";"2";"5";2;"3";"1";"5";1;"2";0;"Live with Parents/Family";"3";"7";"1";9136
"110";"2";"1";6;"4";"1";"5";2;"6";0;"Own";"1";"1";"1";46894
"111";"2";"1";5;"4";"5";"5";3;"4";0;"Own";"1";"7";"1";32171
"112";"Male";"1";3;"6";"2";"2";2;"2";0;"Rent";"3";"?";"1";66994
"113";"Male";"5";2;"2";"6";"5";1;"5";1;"Live with Parents/Family";"1";"7";"1";76004
"114";"2";"2";3;"3";"4";"2";1;"3";1;"Rent";"3";"1";"1";21672
"115";"2";"?";7;"3";"8";"5";1;"1";0;"Rent";"3";"7";"1";27591
"116";"2";"1";7;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";27591
"117";"2";"3";3;"4";"4";"?";1;"3";1;"Rent";"2";"7";"1";11703
"118";"2";"1";2;"5";"2";"2";2;"2";0;"Rent";"1";"7";"1";19997
"119";"Male";"5";5;"6";"1";"1";1;"1";0;"Rent";"2";"7";"1";32171
"120";"2";"4";7;"3";"8";"2";1;"2";0;"?";"2";"7";"1";46894
"121";"2";"3";7;"5";"8";"?";1;"?";0;"Rent";"2";"7";"?";46894
"122";"2";"3";4;"4";"4";"5";1;"?";0;"Own";"1";"7";"1";46894
"123";"2";"5";1;"1";"6";"5";1;"?";0;"Live with Parents/Family";"1";"7";"?";9136
"124";"2";"1";3;"5";"5";"3";3;"3";1;"Own";"1";"7";"1";76004
"125";"2";"2";5;"4";"1";"5";1;"2";0;"Own";"1";"7";"?";66994
"126";"2";"2";5;"4";"1";"5";1;"2";0;"Own";"1";"7";"1";66994
"127";"2";"5";1;"2";"6";"?";1;"5";1;"Live with Parents/Family";"1";"7";"1";9136
"128";"2";"1";4;"5";"4";"3";2;"4";2;"Own";"1";"7";"1";66994
"129";"2";"?";4;"3";"?";"?";3;"4";2;"Own";"1";"7";"?";46894
"130";"2";"3";3;"4";"5";"5";1;"4";3;"Rent";"2";"7";"1";32171
"131";"Male";"1";6;"4";"8";"5";3;"?";0;"?";"?";"?";"?";66994
"132";"2";"1";5;"6";"4";"5";3;"3";0;"Own";"1";"7";"1";21672
"133";"2";"1";5;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"134";"Male";"5";1;"1";"9";"5";1;"5";3;"Live with Parents/Family";"1";"5";"1";9136
"135";"2";"1";5;"4";"1";"4";2;"5";1;"Own";"1";"7";"1";66994
"136";"2";"1";6;"4";"1";"5";3;"2";0;"Own";"1";"7";"1";66994
"137";"2";"5";1;"2";"6";"?";1;"8";6;"Live with Parents/Family";"?";"7";"1";9136
"138";"2";"1";5;"6";"5";"2";3;"3";0;"Own";"1";"7";"1";76004
"139";"2";"5";1;"2";"6";"3";1;"5";3;"Live with Parents/Family";"3";"2";"3";9136
"140";"Male";"1";4;"4";"1";"4";2;"6";2;"Rent";"1";"7";"1";46894
"141";"Male";"1";4;"6";"1";"3";2;"5";3;"Own";"1";"7";"1";76004
"142";"Male";"1";7;"3";"1";"5";3;"2";0;"Own";"1";"7";"1";46894
"143";"Male";"";7;"6";"1";"5";3;"3";0;"Own";"1";"7";"1";46894
"144";"Male";"5";2;"4";"1";"?";1;"7";0;"Rent";"2";"7";"1";21672
"145";"2";"3";5;"4";"1";"4";1;"2";0;"Own";"1";"7";"1";46894
"146";"2";"5";3;"6";"6";"5";1;"7";1;"Live with Parents/Family";"1";"7";"1";9136
"147";"Male";"1";7;"3";"8";"5";3;"3";0;"Own";"1";"7";"1";46894
"148";"Male";"5";2;"4";"9";"2";1;"?";0;"Rent";"3";"3";"1";9136
"149";"Male";"1";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";27591
"150";"2";"1";4;"6";"1";"3";2;"4";2;"Own";"1";"7";"1";76004
"151";"2";"5";1;"2";"4";"3";1;"2";1;"Live with Parents/Family";"?";"7";"1";11703
"152";"2";"5";1;"2";"4";"5";1;"3";2;"Live with Parents/Family";"3";"5";"1";11703
"153";"Male";"1";6;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"154";"2";"1";4;"4";"5";"5";3;"4";0;"Own";"1";"7";"1";66994
"155";"2";"1";4;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"156";"2";"1";3;"5";"1";"3";2;"2";0;"Own";"5";"7";"1";76004
"157";"2";"1";4;"6";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"158";"Male";"1";4;"6";"1";"5";2;"2";0;"Own";"1";"5";"1";76004
"159";"Male";"5";1;"2";"6";"3";1;"6";3;"Live with Parents/Family";"5";"7";"1";9136
"160";"2";"1";2;"3";"1";"5";2;"2";0;"Rent";"3";"7";"";11703
"161";"Male";"1";7;"6";"1";"5";3;"3";3;"Own";"1";"7";"1";76004
"162";"2";"1";4;"3";"1";"5";3;"4";2;"Own";"1";"7";"1";32171
"163";"2";"1";7;"4";"8";"?";3;"2";0;"?";"5";"7";"1";19997
"164";"2";"3";7;"3";"8";"?";1;"1";0;"?";"3";"2";"1";21672
"165";"2";"3";6;"5";"1";"5";1;"2";0;"Own";"1";"7";"1";19997
"166";"2";"4";7;"4";"4";"5";1;"1";0;"Own";"1";"7";"1";9136
"167";"Male";"5";1;"2";"6";"4";1;"3";0;"Live with Parents/Family";"2";"5";"1";9136
"168";"2";"1";3;"3";"5";"5";3;"4";2;"Own";"1";"7";"1";32171
"169";"Male";"5";4;"4";"2";"5";1;"1";0;"Rent";"3";"7";"1";27591
"170";"2";"4";5;"4";"8";"2";1;"2";0;"Rent";"3";"7";"1";46894
"171";"Male";"5";3;"4";"1";"2";1;"2";0;"Own";"1";"7";"1";46894
"172";"Male";"1";7;"6";"?";"5";3;"2";0;"Own";"1";"7";"1";46894
"173";"2";"1";7;"4";"8";"5";3;"2";0;"Own";"?";"7";"1";27591
"174";"2";"5";2;"4";"6";"4";1;"?";0;"Rent";"2";"7";"1";9136
"175";"Male";"1";7;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";27591
"176";"2";"5";3;"4";"3";"5";1;"1";0;"Rent";"3";"7";"1";11703
"177";"2";"5";3;"3";"3";"4";1;"3";1;"Rent";"3";"7";"1";11703
"178";"2";"4";7;"5";"8";"5";1;"1";1;"Rent";"3";"7";"1";21672
"179";"2";"1";6;"5";"2";"5";2;"2";0;"Own";"1";"7";"1";66994
"180";"2";"1";4;"6";"5";"4";3;"5";3;"Own";"1";"7";"3";66994
"181";"Male";"1";7;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";21672
"182";"2";"5";3;"4";"4";"5";1;"";0;"Rent";"3";"7";"1";27591
"183";"2";"5";2;"4";"6";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";21672
"184";"2";"5";2;"3";"2";"3";1;"3";1;"Live with Parents/Family";"1";"7";"1";76004
"185";"2";"3";7;"6";"1";"5";1;"1";0;"Rent";"1";"7";"1";19997
"186";"Male";"5";3;"4";"1";"5";1;"2";0;"Own";"1";"6";"1";66994
"187";"Male";"5";3;"5";"1";"3";1;"2";0;"Rent";"2";"7";"1";46894
"188";"Male";"1";3;"5";"1";"4";2;"3";1;"Rent";"3";"7";"3";46894
"189";"Male";"5";3;"4";"1";"5";1;"1";0;"Rent";"2";"7";"1";46894
"190";"2";"1";3;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"191";"2";"5";1;"2";"6";"4";1;"3";1;"Live with Parents/Family";"1";"2";"1";9136
"192";"2";"1";5;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"193";"2";"5";3;"5";"1";"5";1;"2";0;"Own";"1";"5";"1";32171
"194";"Male";"1";6;"6";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"195";"Male";"1";7;"3";"8";"?";3;"?";0;"Own";"1";"7";"1";19997
"196";"Male";"2";3;"4";"1";"5";2;"4";0;"Rent";"1";"7";"1";21672
"197";"2";"1";4;"4";"5";"5";3;"5";3;"Own";"1";"7";"1";76004
"198";"2";"1";5;"3";"4";"5";2;"3";0;"Own";"1";"7";"1";32171
"199";"2";"1";6;"5";"5";"5";3;"2";0;"Own";"?";"7";"1";76004
"200";"2";"1";5;"3";"1";"5";3;"3";1;"Own";"1";"7";"1";9136
"201";"Male";"1";4;"6";"1";"5";2;"2";0;"Own";"2";"7";"1";66994
"202";"Male";"5";2;"5";"1";"5";1;"3";0;"Rent";"3";"2";"1";27591
"203";"2";"3";3;"4";"4";"5";1;"4";1;"Own";"4";"5";"1";27591
"204";"Male";"5";2;"5";"";"3";1;"1";0;"Live with Parents/Family";"1";"7";"1";11703
"205";"2";"1";5;"2";"5";"5";3;"4";1;"?";"3";"7";"1";32171
"206";"Male";"1";4;"1";"2";"5";2;"3";1;"Rent";"3";"5";"1";32171
"207";"2";"5";2;"3";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";66994
"208";"2";"5";2;"3";"6";"5";1;"6";0;"Rent";"5";"7";"1";66994
"209";"2";"5";1;"?";"6";"3";1;"4";2;"Live with Parents/Family";"1";"5";"1";9136
"210";"2";"3";4;"6";"1";"5";1;"1";0;"Own";"1";"7";"1";46894
"211";"2";"1";3;"5";"1";"4";2;"3";1;"Own";"1";"7";"1";76004
"212";"2";"5";3;"4";"1";"5";1;"1";1;"Own";"1";"7";"1";27591
"213";"Male";"1";7;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"214";"Male";"1";5;"5";"1";"5";2;"2";0;"Own";"1";"7";"?";76004
"215";"Male";"5";1;"1";"6";"5";1;"3";1;"Live with Parents/Family";"2";"5";"1";"9136"
"216";"Male";"1";3;"4";"?";"5";2;"2";0;"Rent";"2";"7";"1";21672
"217";"Male";"1";6;"4";"1";"5";2;"3";0;"Own";"1";"7";"1";66994
"218";"Male";"3";5;"3";"3";"4";1;"4";1;"Rent";"1";"7";"1";46894
"219";"Male";"1";3;"4";"1";"4";2;"4";2;"Rent";"1";"7";"1";76004
"220";"Male";"1";6;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"221";"Male";"1";6;"6";"1";"5";2;"3";1;"Own";"1";"7";"1";66994
"222";"2";"2";3;"4";"3";"5";1;"2";0;"Rent";"3";"7";"1";32171
"223";"Male";"1";3;"4";"3";"5";2;"2";0;"Own";"1";"7";"1";46894
"224";"Male";"1";6;"6";"8";"5";3;"2";0;"Own";"1";"7";"1";76004
"225";"Male";"5";2;"3";"1";"5";1;"3";0;"Rent";"2";"7";"1";66994
"226";"Male";"1";5;"?";"2";"5";2;"4";2;"Own";"1";"7";"1";32171
"227";"Male";"1";5;"6";"1";"5";3;"2";1;"Own";"1";"3";"1";66994
"228";"Male";"5";1;"2";"4";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";76004
"229";"Male";"1";6;"5";"1";"5";3;"2";0;"Own";"1";"7";"1";66994
"230";"Male";"1";7;"4";"8";"5";2;"2";0;"Own";"1";"7";"1";76004
"231";"Male";"1";6;"4";"1";"5";2;"2";0;"Rent";"1";"7";"1";76004
"232";"Male";"5";3;"4";"6";"5";1;"4";0;"Rent";"1";"7";"1";21672
"233";"Male";"5";2;"4";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";76004
"234";"Male";"1";5;"6";"1";"5";1;"3";0;"Own";"1";"3";"1";66994
"235";"Male";"5";3;"6";"1";"5";1;"2";0;"Rent";"3";"7";"1";27591
"236";"Male";"1";5;"3";"8";"5";2;"3";0;"Own";"1";"7";"1";46894
"237";"2";"1";7;"4";"8";"5";3;"3";0;"Own";"1";"7";"1";76004
"238";"Male";"1";4;"6";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"239";"Male";"1";7;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";27591
"240";"2";"3";6;"3";"4";"?";1;"1";0;"Own";"5";"7";"1";32171
"241";"Male";"1";6;"4";"1";"5";2;"3";1;"Own";"1";"7";"1";66994
"242";"Male";"1";4;"5";"2";"5";2;"4";2;"Own";"1";"7";"1";76004
"243";"Male";"1";4;"6";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"244";"Male";"1";4;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"245";"Male";"1";3;"6";"1";"5";2;"2";0;"Own";"1";"1";"1";76004
"246";"Male";"2";2;"3";"3";"2";1;"4";0;"Rent";"3";"7";"1";21672
"247";"Male";"1";4;"5";"1";"5";2;"4";1;"Own";"1";"7";"1";76004
"248";"Male";"1";6;"5";"8";"5";2;"4";0;"Own";"1";"7";"1";46894
"249";"2";"1";3;"3";"1";"3";3;"4";2;"Rent";"3";"7";"1";46894
"250";"Male";"1";3;"4";"1";"4";2;"4";2;"Own";"1";"7";"1";66994
"251";"Male";"1";5;"4";"1";"5";3;"2";0;"Own";"1";"7";"1";66994
"252";"Male";"3";4;"6";"9";"3";1;"1";0;"Rent";"1";"7";"1";9136
"253";"Male";"3";7;"2";"8";"5";1;"1";0;"Own";"1";"7";"1";11703
"254";"2";"3";5;"3";"4";"5";1;"?";0;"Own";"1";"5";"1";21672
"255";"Male";"1";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";32171
"256";"2";"5";2;"4";"1";"5";1;"6";1;"Live with Parents/Family";"1";"7";"1";19997
"257";"Male";"1";7;"4";"8";"?";3;"2";0;"Own";"2";"7";"1";21672
"258";"2";"4";7;"3";"4";"5";1;"1";0;"Own";"1";"7";"1";21672
"259";"Male";"5";2;"4";"1";"5";1;"1";0;"Rent";"1";"7";"1";27591
